ФИО,Год поступления,Форма обучения,Балл ЦТ/ЦЭ,Средний балл аттестата,Общий балл,Специальность,Адрес,Телефон
Никанор Феодосьевич Мамонтов,2023,вечерняя,"{'Математика': 84, 'Физика': 100, 'Химия': 53, 'История': 32, 'Обществознание': 56}",6.48,389.8,Биология,"д. Котельнич, пр. Чехова, д. 868 стр. 502, 826038",+71523017035
Мария Григорьевна Гусева,2025,дневная,"{'Математика': 82, 'Физика': 59, 'Химия': 70, 'История': 86, 'Обществознание': 71}",5.46,422.6,Биология,"п. Курумкан, пр. Терешковой, д. 18 к. 894, 223873",+7 (191) 938-63-48
Орлов Адриан Артемьевич,2025,заочная,"{'Математика': 36, 'Физика': 82, 'Химия': 63, 'История': 56, 'Обществознание': 43}",5.03,330.3,Математика,"к. Старый Оскол, пр. Иванова, д. 8/9, 608560",+7 (453) 391-60-77
Любовь Валериевна Боброва,2021,дневная,"{'Математика': 68, 'Физика': 34, 'Химия': 76, 'История': 54, 'Обществознание': 39}",5.58,326.8,Информатика,"с. Пинега, ул. Кошевого, д. 6 к. 7/8, 157657",+7 929 082 5217
Виктория Васильевна Шарапова,2021,заочная,"{'Математика': 35, 'Физика': 53, 'Химия': 59, 'История': 43, 'Обществознание': 79}",6.27,331.7,Физика,"ст. Нижний Новгород, алл. Ветеранов, д. 7, 120393",+7 889 769 76 36
Кондратьев Мир Борисович,2023,дневная,"{'Математика': 34, 'Физика': 56, 'Химия': 53, 'История': 36, 'Обществознание': 55}",9.86,332.6,Экономика,"д. Саянск, алл. Урожайная, д. 547 к. 872, 063042",8 (379) 175-59-25
Сигизмунд Демьянович Максимов,2023,дневная,"{'Математика': 69, 'Физика': 33, 'Химия': 43, 'История': 49, 'Обществознание': 67}",9.1,352.0,Математика,"клх Юрюзань, пр. Иванова, д. 18 к. 9, 744548",8 (114) 545-44-36
Афанасьев Каллистрат Валерьянович,2021,вечерняя,"{'Математика': 76, 'Физика': 44, 'Химия': 86, 'История': 44, 'Обществознание': 52}",8.04,382.4,Информатика,"п. Пятигорск, наб. Воронежская, д. 5, 856425",8 (295) 632-53-21
Людмила Тарасовна Фокина,2023,заочная,"{'Математика': 38, 'Физика': 79, 'Химия': 84, 'История': 52, 'Обществознание': 94}",5.61,403.1,Биология,"п. Уварово, пр. Карьерный, д. 5, 306889",8 142 191 48 24
Третьякова Эмилия Наумовна,2023,заочная,"{'Математика': 49, 'Физика': 95, 'Химия': 91, 'История': 31, 'Обществознание': 97}",5.28,415.8,Математика,"г. Елатьма, наб. Линейная, д. 6/3 стр. 68, 900552",81537178595
Громова Эмилия Вадимовна,2025,заочная,"{'Математика': 95, 'Физика': 80, 'Химия': 33, 'История': 64, 'Обществознание': 40}",7.51,387.1,Биология,"г. Сунтар, пер. Ульяновский, д. 207 к. 7/3, 115877",+7 287 089 5607
Олимпий Жоресович Попов,2022,заочная,"{'Математика': 69, 'Физика': 96, 'Химия': 78, 'История': 44, 'Обществознание': 56}",7.13,414.3,Информатика,"г. Ардон, ш. Гагарина, д. 510 к. 47, 256211",85891223599
Родионова Виктория Васильевна,2025,дневная,"{'Математика': 45, 'Физика': 52, 'Химия': 93, 'История': 73, 'Обществознание': 70}",7.98,412.8,Биология,"клх Подольск, ш. Сахалинское, д. 360 стр. 796, 434957",+7 306 725 9501
Баранов Самуил Виленович,2025,дневная,"{'Математика': 70, 'Физика': 53, 'Химия': 30, 'История': 82, 'Обществознание': 36}",9.22,363.2,Экономика,"с. Оленек, бул. Щербакова, д. 13 к. 863, 455493",+7 (827) 791-0407
Лонгин Данилович Осипов,2025,вечерняя,"{'Математика': 83, 'Физика': 98, 'Химия': 35, 'История': 50, 'Обществознание': 81}",7.41,421.1,Физика,"клх Жигулевск, пр. Бажова, д. 6 стр. 18, 246060",88400826524
Святослав Валерианович Соколов,2022,заочная,"{'Математика': 78, 'Физика': 47, 'Химия': 37, 'История': 74, 'Обществознание': 57}",8.06,373.6,Математика,"г. Бугульма, наб. Главная, д. 3/2 к. 8, 177011",+7 913 349 9215
Коновалова София Филипповна,2025,заочная,"{'Математика': 79, 'Физика': 67, 'Химия': 64, 'История': 53, 'Обществознание': 87}",6.12,411.2,Информатика,"к. Нарьян-Мар, алл. 50 лет ВЛКСМ, д. 773 к. 5, 065992",82113381777
Киселев Милий Евсеевич,2022,вечерняя,"{'Математика': 64, 'Физика': 41, 'Химия': 31, 'История': 83, 'Обществознание': 90}",6.1,370.0,Экономика,"с. Переславль-Залесский, алл. Марта 8, д. 143, 277898",8 (310) 710-3073
Костин Лукьян Аксёнович,2024,дневная,"{'Математика': 73, 'Физика': 44, 'Химия': 93, 'История': 98, 'Обществознание': 49}",5.98,416.8,Экономика,"г. Краснокамск, бул. Студенческий, д. 435 к. 9/6, 108726",+7 135 107 5820
Шилов Кузьма Владиславович,2023,вечерняя,"{'Математика': 97, 'Физика': 62, 'Химия': 90, 'История': 75, 'Обществознание': 80}",8.73,491.3,Биология,"с. Луховицы, ш. Р.Люксембург, д. 97 стр. 7, 929303",8 041 298 44 54
Таисия Вячеславовна Калинина,2022,дневная,"{'Математика': 84, 'Физика': 41, 'Химия': 57, 'История': 30, 'Обществознание': 95}",8.5,392.0,Физика,"клх Нижний Тагил, пр. Заводской, д. 55 стр. 7/3, 100818",8 265 271 8080
Серафим Владленович Копылов,2025,заочная,"{'Математика': 85, 'Физика': 37, 'Химия': 55, 'История': 98, 'Обществознание': 84}",8.89,447.9,Информатика,"г. Новочеркасск, наб. Высоковольтная, д. 2, 854265",+70996698315
Попова Милица Константиновна,2024,заочная,"{'Математика': 39, 'Физика': 98, 'Химия': 90, 'История': 84, 'Обществознание': 55}",7.31,439.1,Физика,"с. Сибай, наб. Энгельса, д. 5/2 стр. 8, 866242",+7 509 562 0599
Лазарева Раиса Феликсовна,2022,вечерняя,"{'Математика': 69, 'Физика': 86, 'Химия': 32, 'История': 38, 'Обществознание': 43}",5.5,323.0,Экономика,"клх Саянск, бул. Седова, д. 617 стр. 2/1, 811512",+7 (005) 260-87-83
Комиссаров Софрон Брониславович,2022,дневная,"{'Математика': 48, 'Физика': 86, 'Химия': 64, 'История': 31, 'Обществознание': 100}",7.34,402.4,Физика,"ст. Томск, ш. Урицкого, д. 3 стр. 5, 698388",+7 625 663 01 84
Орехов Аристарх Артёмович,2025,заочная,"{'Математика': 34, 'Физика': 32, 'Химия': 40, 'История': 75, 'Обществознание': 57}",7.56,313.6,Экономика,"с. Шатки, ш. Школьное, д. 17 стр. 2, 922630",+7 468 446 8837
Терентьев Мирон Александрович,2021,вечерняя,"{'Математика': 45, 'Физика': 54, 'Химия': 65, 'История': 73, 'Обществознание': 64}",9.73,398.3,Информатика,"д. Каменномостский, ул. Специалистов, д. 5/7 стр. 35, 299290",+74185436832
Сигизмунд Трифонович Потапов,2022,вечерняя,"{'Математика': 93, 'Физика': 49, 'Химия': 34, 'История': 88, 'Обществознание': 83}",6.85,415.5,Физика,"клх Ельня, ул. Портовая, д. 3, 782836",+7 (396) 963-20-92
Наумова Мария Александровна,2021,дневная,"{'Математика': 97, 'Физика': 44, 'Химия': 85, 'История': 62, 'Обществознание': 62}",9.3,443.0,Физика,"клх Солнечногорск, алл. Производственная, д. 38 стр. 604, 270153",86248346315
Котова Оксана Романовна,2024,дневная,"{'Математика': 43, 'Физика': 82, 'Химия': 55, 'История': 37, 'Обществознание': 42}",6.63,325.3,Информатика,"д. Курчатов, пр. Производственный, д. 3 к. 4/1, 303731",89289723369
Королева Светлана Никифоровна,2025,вечерняя,"{'Математика': 74, 'Физика': 37, 'Химия': 79, 'История': 84, 'Обществознание': 67}",9.88,439.8,Биология,"г. Ясный (Оренб.), наб. Свободы, д. 4/9 стр. 94, 754966",+7 (673) 513-4115
Таисия Кузьминична Лебедева,2021,заочная,"{'Математика': 50, 'Физика': 46, 'Химия': 41, 'История': 75, 'Обществознание': 65}",6.69,343.9,Математика,"к. Орск, пр. Запрудный, д. 95 стр. 3, 174200",+7 367 158 1820
Колесникова Любовь Ждановна,2024,заочная,"{'Математика': 49, 'Физика': 45, 'Химия': 63, 'История': 76, 'Обществознание': 72}",6.71,372.1,Физика,"д. Лянтор, пр. Лазурный, д. 307, 639795",+7 207 799 8230
Мамонтова Октябрина Богдановна,2022,вечерняя,"{'Математика': 91, 'Физика': 83, 'Химия': 90, 'История': 100, 'Обществознание': 38}",8.65,488.5,Экономика,"д. Люберцы, бул. Поперечный, д. 1 стр. 8, 451415",+72126099058
Любовь Никифоровна Одинцова,2024,дневная,"{'Математика': 79, 'Физика': 58, 'Химия': 94, 'История': 90, 'Обществознание': 50}",8.79,458.9,Математика,"г. Нефедова, бул. Панфилова, д. 625, 901657",8 047 523 8500
Журавлев Ермил Архипович,2023,дневная,"{'Математика': 49, 'Физика': 99, 'Химия': 75, 'История': 44, 'Обществознание': 65}",5.5,387.0,Математика,"д. Йошкар-Ола, бул. Подлесный, д. 8 к. 7/2, 570464",+7 821 805 30 51
Андрон Аверьянович Рыбаков,2023,дневная,"{'Математика': 47, 'Физика': 72, 'Химия': 56, 'История': 64, 'Обществознание': 58}",8.01,377.1,Физика,"д. Кашира, пр. Партизанский, д. 1/4 стр. 80, 086222",80403344450
Федот Феофанович Дементьев,2023,заочная,"{'Математика': 84, 'Физика': 34, 'Химия': 71, 'История': 40, 'Обществознание': 39}",7.01,338.1,Математика,"ст. Щельяюр, пер. Коммунальный, д. 655 к. 3/3, 639036",+7 635 907 2796
Святослав Виленович Орлов,2022,заочная,"{'Математика': 91, 'Физика': 94, 'Химия': 52, 'История': 44, 'Обществознание': 96}",9.1,468.0,Биология,"с. Калач-на-Дону, бул. Подстанция, д. 7/5 к. 4, 825004",+7 670 809 81 55
Степанова Агафья Артемовна,2023,дневная,"{'Математика': 88, 'Физика': 83, 'Химия': 75, 'История': 39, 'Обществознание': 47}",9.37,425.7,Физика,"д. Каргасок, ш. Маркса, д. 5/9, 939591",8 418 470 6276
Клавдия Аскольдовна Козлова,2021,дневная,"{'Математика': 72, 'Физика': 64, 'Химия': 52, 'История': 64, 'Обществознание': 81}",7.26,405.6,Биология,"д. Соликамск, наб. Глинки, д. 75 к. 544, 593585",8 715 888 0204
Валерия Валентиновна Шилова,2022,заочная,"{'Математика': 70, 'Физика': 34, 'Химия': 63, 'История': 42, 'Обществознание': 32}",6.27,303.7,Математика,"с. Сосьва (Хант.), алл. 40 лет Октября, д. 782 стр. 503, 450956",89150319413
Журавлев Феоктист Артемьевич,2025,дневная,"{'Математика': 64, 'Физика': 59, 'Химия': 56, 'История': 58, 'Обществознание': 52}",5.59,344.9,Математика,"к. Геленджик, бул. Садовый, д. 8/7, 827328",8 (998) 140-6977
Павлов Селиван Данилович,2024,заочная,"{'Математика': 38, 'Физика': 78, 'Химия': 43, 'История': 85, 'Обществознание': 70}",8.64,400.4,Экономика,"г. Красногорск (Моск.), ш. Восьмого Марта, д. 718 к. 3, 220692",+7 (450) 241-40-43
Козлов Светозар Измаилович,2022,вечерняя,"{'Математика': 32, 'Физика': 38, 'Химия': 51, 'История': 49, 'Обществознание': 94}",5.32,317.2,Экономика,"д. Яшалта, наб. Репина, д. 8/5 стр. 8/3, 581866",+7 (246) 262-29-51
Трофимова Зинаида Максимовна,2024,вечерняя,"{'Математика': 30, 'Физика': 45, 'Химия': 80, 'История': 62, 'Обществознание': 81}",7.98,377.8,Математика,"п. Плес, пер. Специалистов, д. 3, 139620",+7 (496) 078-32-18
Акулина Афанасьевна Гусева,2025,заочная,"{'Математика': 60, 'Физика': 56, 'Химия': 74, 'История': 38, 'Обществознание': 32}",5.81,318.1,Экономика,"г. Ржев, наб. Баумана, д. 2 к. 51, 635335",8 716 695 41 90
Аггей Филиппович Владимиров,2021,заочная,"{'Математика': 66, 'Физика': 72, 'Химия': 57, 'История': 100, 'Обществознание': 77}",7.55,447.5,Информатика,"д. Арзамас, пр. Дальний, д. 2 к. 7/8, 063813",8 231 226 57 17
Агата Анатольевна Сазонова,2023,вечерняя,"{'Математика': 76, 'Физика': 73, 'Химия': 82, 'История': 99, 'Обществознание': 76}",8.5,491.0,Информатика,"ст. Арсеньев, пер. Загородный, д. 84 к. 4/9, 876324",+7 (717) 349-8854
Изяслав Артурович Гаврилов,2024,дневная,"{'Математика': 85, 'Физика': 31, 'Химия': 79, 'История': 39, 'Обществознание': 93}",6.73,394.3,Информатика,"к. Лянтор, пер. Болотный, д. 99, 069980",89871201340
Шарапов Ефим Федосеевич,2021,вечерняя,"{'Математика': 59, 'Физика': 31, 'Химия': 77, 'История': 52, 'Обществознание': 89}",9.04,398.4,Информатика,"г. Вуктыл, ул. Восточная, д. 68, 322836",8 (818) 904-48-48
Крылова Элеонора Борисовна,2024,заочная,"{'Математика': 94, 'Физика': 95, 'Химия': 95, 'История': 97, 'Обществознание': 84}",5.12,516.2,Информатика,"п. Неплюевка, пр. Седова, д. 5 стр. 22, 773167",8 450 870 85 49
Всемил Еремеевич Некрасов,2023,дневная,"{'Математика': 99, 'Физика': 100, 'Химия': 91, 'История': 79, 'Обществознание': 46}",8.76,502.6,Математика,"ст. Каменск-Уральский, бул. Северный, д. 303, 068114",8 449 280 6771
Волков Лев Давидович,2022,вечерняя,"{'Математика': 79, 'Физика': 60, 'Химия': 85, 'История': 89, 'Обществознание': 38}",8.48,435.8,Математика,"к. Каргополь, алл. Гвардейская, д. 6/5 стр. 9, 183764",+78531734475
Исакова Зинаида Эдуардовна,2023,дневная,"{'Математика': 74, 'Физика': 79, 'Химия': 38, 'История': 34, 'Обществознание': 42}",8.41,351.1,Математика,"г. Шадринск, пер. Водопроводный, д. 4/1 стр. 7/3, 833636",+78994398558
Данила Измаилович Фролов,2023,заочная,"{'Математика': 76, 'Физика': 46, 'Химия': 41, 'История': 33, 'Обществознание': 78}",8.39,357.9,Информатика,"клх Энгельс, ул. Высоцкого, д. 531 к. 3, 829462",8 179 551 21 43
Селиверст Владиславович Карпов,2024,заочная,"{'Математика': 60, 'Физика': 79, 'Химия': 95, 'История': 31, 'Обществознание': 59}",9.49,418.9,Математика,"п. Шахты, ш. Лазо, д. 4/1 к. 272, 120923",8 029 903 0647
Олимпиада Захаровна Зайцева,2022,вечерняя,"{'Математика': 48, 'Физика': 49, 'Химия': 54, 'История': 92, 'Обществознание': 60}",7.88,381.8,Экономика,"к. Новосибирск, пер. Новоселов, д. 8 к. 954, 242096",+7 826 489 87 14
Марк Иосипович Суханов,2021,вечерняя,"{'Математика': 69, 'Физика': 66, 'Химия': 43, 'История': 33, 'Обществознание': 79}",5.57,345.7,Физика,"ст. Шали, ул. Мичурина, д. 317 стр. 513, 516601",8 411 561 0530
Евсеева Вера Станиславовна,2024,вечерняя,"{'Математика': 78, 'Физика': 52, 'Химия': 61, 'История': 62, 'Обществознание': 85}",8.66,424.6,Биология,"п. Томск, ш. Строителей, д. 6, 397895",8 (004) 664-8323
Куприян Харламович Селезнев,2024,заочная,"{'Математика': 56, 'Физика': 99, 'Химия': 54, 'История': 77, 'Обществознание': 59}",8.09,425.9,Биология,"с. Стрежевой, бул. Сурикова, д. 7 к. 99, 753782",86327180120
Мария Олеговна Федорова,2023,вечерняя,"{'Математика': 87, 'Физика': 96, 'Химия': 35, 'История': 71, 'Обществознание': 99}",9.55,483.5,Физика,"к. Домодедово, алл. Челюскинцев, д. 7/2 стр. 8/6, 005943",+74375440825
Марина Владимировна Филатова,2021,вечерняя,"{'Математика': 66, 'Физика': 53, 'Химия': 63, 'История': 86, 'Обществознание': 59}",7.43,401.3,Экономика,"клх Суздаль, ул. Амурская, д. 830 к. 86, 603417",+7 (368) 721-8682
Гущин Геннадий Трофимович,2022,дневная,"{'Математика': 68, 'Физика': 52, 'Химия': 36, 'История': 86, 'Обществознание': 92}",6.76,401.6,Физика,"с. Ивдель, ш. Прудное, д. 5/6 к. 31, 511115",8 (389) 506-38-19
Калашников Ростислав Исидорович,2025,дневная,"{'Математика': 53, 'Физика': 34, 'Химия': 45, 'История': 37, 'Обществознание': 82}",8.09,331.9,Экономика,"ст. Старая Русса, бул. Выгонный, д. 53 к. 2/5, 142445",+7 (129) 201-7526
Бобров Феофан Ермолаевич,2024,дневная,"{'Математика': 47, 'Физика': 88, 'Химия': 32, 'История': 55, 'Обществознание': 96}",7.7,395.0,Экономика,"ст. Эльтон, пер. Деповский, д. 11 стр. 107, 241288",+7 (263) 120-9093
Нина Архиповна Петрова,2024,дневная,"{'Математика': 80, 'Физика': 55, 'Химия': 53, 'История': 88, 'Обществознание': 68}",7.27,416.7,Биология,"д. Углегорск, ш. 1 Мая, д. 5/8, 217215",8 (676) 974-2454
Елена Георгиевна Ситникова,2021,дневная,"{'Математика': 89, 'Физика': 61, 'Химия': 69, 'История': 98, 'Обществознание': 69}",7.42,460.2,Биология,"г. Одинцово, бул. Курортный, д. 3/1 стр. 5/7, 626211",8 (713) 968-02-41
Егор Августович Герасимов,2024,заочная,"{'Математика': 35, 'Физика': 47, 'Химия': 65, 'История': 98, 'Обществознание': 67}",8.72,399.2,Информатика,"г. Верхний Тагил, пер. Инженерный, д. 67 к. 993, 682969",8 (735) 793-5930
Рожков Феофан Ермилович,2022,дневная,"{'Математика': 38, 'Физика': 51, 'Химия': 50, 'История': 66, 'Обществознание': 90}",9.31,388.1,Математика,"клх Новокузнецк, наб. Буденного, д. 705 к. 5/2, 808432",8 (906) 039-62-48
Буров Геннадий Александрович,2024,вечерняя,"{'Математика': 48, 'Физика': 48, 'Химия': 37, 'История': 92, 'Обществознание': 82}",6.62,373.2,Физика,"п. Североморск, пер. 50 лет Октября, д. 72 стр. 38, 850796",85583771015
Галина Валериевна Симонова,2024,дневная,"{'Математика': 90, 'Физика': 37, 'Химия': 36, 'История': 92, 'Обществознание': 44}",7.01,369.1,Информатика,"ст. Кашира, алл. О.Кошевого, д. 4 к. 10, 812805",+73549244460
Лукия Ильинична Пахомова,2022,вечерняя,"{'Математика': 62, 'Физика': 53, 'Химия': 71, 'История': 68, 'Обществознание': 70}",5.33,377.3,Физика,"ст. Артем, пер. Базарный, д. 59, 923185",84793727993
Борислав Изотович Белоусов,2025,дневная,"{'Математика': 35, 'Физика': 73, 'Химия': 98, 'История': 47, 'Обществознание': 89}",6.28,404.8,Математика,"к. Кижи, бул. Высотный, д. 5, 246202",88917765262
Веселова Октябрина Даниловна,2021,заочная,"{'Математика': 95, 'Физика': 83, 'Химия': 99, 'История': 75, 'Обществознание': 90}",5.53,497.3,Биология,"г. Токсово, алл. Февральская, д. 10 к. 8/9, 440634",89358682506
Кулаков Сократ Димитриевич,2022,заочная,"{'Математика': 51, 'Физика': 99, 'Химия': 64, 'История': 46, 'Обществознание': 77}",5.4,391.0,Математика,"к. Данков, бул. Красный, д. 400 стр. 494, 440120",8 (964) 715-79-31
Феоктист Чеславович Щукин,2021,дневная,"{'Математика': 79, 'Физика': 84, 'Химия': 74, 'История': 90, 'Обществознание': 67}",9.48,488.8,Биология,"клх Оса, пр. Новгородский, д. 72 стр. 53, 169560",8 (505) 896-0926
Беспалова Ольга Богдановна,2023,дневная,"{'Математика': 55, 'Физика': 46, 'Химия': 34, 'История': 85, 'Обществознание': 68}",8.7,375.0,Информатика,"с. Салехард, наб. Ростовская, д. 4/7, 700682",8 (382) 319-86-09
Моисеев Бронислав Германович,2022,вечерняя,"{'Математика': 34, 'Физика': 55, 'Химия': 88, 'История': 58, 'Обществознание': 39}",6.52,339.2,Физика,"д. Курильск, бул. Садовый, д. 2 стр. 452, 983814",+7 272 011 35 88
Осипова Майя Геннадьевна,2022,вечерняя,"{'Математика': 68, 'Физика': 86, 'Химия': 90, 'История': 52, 'Обществознание': 43}",9.59,434.9,Физика,"г. Рязань, алл. Восьмого Марта, д. 261 стр. 73, 233146",+7 542 446 3047
Галкина Олимпиада Яковлевна,2024,дневная,"{'Математика': 56, 'Физика': 71, 'Химия': 53, 'История': 93, 'Обществознание': 91}",8.35,447.5,Математика,"с. Углегорск, ш. Менделеева, д. 5/5 к. 3/9, 797944",+7 (235) 839-6313
Агата Вадимовна Панфилова,2024,дневная,"{'Математика': 95, 'Физика': 59, 'Химия': 71, 'История': 67, 'Обществознание': 90}",9.53,477.3,Математика,"д. Можга, наб. Металлистов, д. 1 к. 4, 693379",8 150 052 37 05
Меркушева Надежда Сергеевна,2021,заочная,"{'Математика': 95, 'Физика': 50, 'Химия': 60, 'История': 88, 'Обществознание': 43}",5.69,392.9,Физика,"к. Диксон, алл. Семашко, д. 18, 438883",+7 274 071 89 35
Пров Бориславович Шестаков,2021,дневная,"{'Математика': 41, 'Физика': 43, 'Химия': 45, 'История': 48, 'Обществознание': 40}",8.12,298.2,Экономика,"п. Астрахань, алл. Волгоградская, д. 98, 330081",88211414216
Ермаков Георгий Фокич,2023,заочная,"{'Математика': 50, 'Физика': 61, 'Химия': 42, 'История': 78, 'Обществознание': 40}",6.23,333.3,Математика,"к. Южно-Сахалинск, алл. Рыбацкая, д. 6 стр. 781, 648987",8 (616) 791-2763
Ипполит Демьянович Воробьев,2021,дневная,"{'Математика': 35, 'Физика': 98, 'Химия': 50, 'История': 74, 'Обществознание': 66}",6.37,386.7,Математика,"к. Лазаревское, пр. Курский, д. 1/7 к. 7/9, 488501",+7 (496) 560-0069
